regionID,region,Provincia,Distrito,Comuna,Lista,NºenVoto,Pacto,SubPacto,Partido,votosComuna
5,DE VALPARAISO,SAN ANTONIO,7,SANTO DOMINGO,B,5,PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,INDEPENDIENTE,138
,AISEN DEL GRAL. CARLOS IBAÑEZ,COYHAIQUE,27,COYHAIQUE,H,25,PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,456
6,DEL LIBERTADOR BDO. O'HIGGINS,CACHAPOAL,15,OLIVAR,B,8,PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,INDEPENDIENTE,115
7,DEL MAULE,LINARES,18,LONGAVI,B,5,PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,377
8,DEL BIOBIO,BIOBIO,21,ANTUCO,J,24,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,SUBPACTO EVOPOLI E INDEPENDIENTES,INDEPENDIENTE,18
13,METROPOLITANA DE SANTIAGO,SANTIAGO,10,MACUL,B,5,PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,2024
14,DE LOS RIOS,DEL RANCO,24,FUTRONO,,31,CANDIDATURA INDEPENDIENTE,,INDEPENDIENTE,52
7,DEL MAULE,TALCA,17,EMPEDRADO,O,24,PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,PARTIDO PROGRESISTA ,136
14,DE LOS RIOS,DEL RANCO,24,LA UNION,B,7,PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,INDEPENDIENTE,580
7,DEL MAULE,CAUQUENES,18,PELLUHUE,L,30,PACTO CHILE VAMOS UDI-INDEPENDIENTES,,INDEPENDIENTE,12
6,DEL LIBERTADOR BDO. O'HIGGINS,COLCHAGUA,16,SAN FERNANDO,B,8,PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,INDEPENDIENTE,310
6,DEL LIBERTADOR BDO. O'HIGGINS,CACHAPOAL,15,GRANEROS,B,4,PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,769
8,DEL BIOBIO,ÑUBLE,19,QUILLON,H,15,PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,286
13,METROPOLITANA DE SANTIAGO,SANTIAGO,11,PEÑALOLEN,B,7,PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,1819
13,METROPOLITANA DE SANTIAGO,TALAGANTE,14,PADRE HURTADO,J,24,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,SUBPACTO PRI E INDEPENDIENTES,PARTIDO REGIONALISTA INDEPENDIENTE,156
8,DEL BIOBIO,CONCEPCION,20,TOME,L,26,PACTO CHILE VAMOS UDI-INDEPENDIENTES,,UNION DEMOCRATA INDEPENDIENTE,443
13,METROPOLITANA DE SANTIAGO,SANTIAGO,10,PROVIDENCIA,L,47,PACTO CHILE VAMOS UDI-INDEPENDIENTES,,UNION DEMOCRATA INDEPENDIENTE,1097
13,METROPOLITANA DE SANTIAGO,SANTIAGO,9,INDEPENDENCIA,G,14,PACTO CON LA FUERZA DEL FUTURO,"SUBPACTO IC, MAS REGION E INDEPENDIENTES",INDEPENDIENTE,131
8,DEL BIOBIO,CONCEPCION,20,CONCEPCION,C,17,PACTO PODER ECOLOGISTA Y CIUDADANO,,INDEPENDIENTE,334
6,DEL LIBERTADOR BDO. O'HIGGINS,CACHAPOAL,15,DOÑIHUE,B,5,PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,PARTIDO SOCIALISTA DE CHILE ,323
,AISEN DEL GRAL. CARLOS IBAÑEZ,AISEN,27,AISEN,H,15,PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,841
5,DE VALPARAISO,VALPARAISO,7,VIÑA DEL MAR,O,57,PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,PARTIDO PROGRESISTA ,137
4,DE COQUIMBO,ELQUI,5,VICUÑA,L,29,PACTO CHILE VAMOS UDI-INDEPENDIENTES,,INDEPENDIENTE,53
4,DE COQUIMBO,ELQUI,5,ANDACOLLO,B,7,PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,595
6,DEL LIBERTADOR BDO. O'HIGGINS,CACHAPOAL,15,GRANEROS,J,27,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,SUBPACTO EVOPOLI E INDEPENDIENTES,INDEPENDIENTE,46
5,DE VALPARAISO,VALPARAISO,7,CASABLANCA,I,14,PACTO CHILE QUIERE AMPLITUD,,AMPLITUD,219
13,METROPOLITANA DE SANTIAGO,SANTIAGO,13,LA CISTERNA,B,5,PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,PARTIDO SOCIALISTA DE CHILE ,721
8,DEL BIOBIO,CONCEPCION,20,TOME,B,7,PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,288
14,DE LOS RIOS,VALDIVIA,24,PANGUIPULLI,H,18,PACTO CHILE VAMOS RN E INDEPENDIENTES,,INDEPENDIENTE,315
10,DE LOS LAGOS,PALENA,26,PALENA,H,16,PACTO CHILE VAMOS RN E INDEPENDIENTES,,INDEPENDIENTE,52
2,DE ANTOFAGASTA,EL LOA,3,SAN PEDRO DE ATACAMA,L,28,PACTO CHILE VAMOS UDI-INDEPENDIENTES,,UNION DEMOCRATA INDEPENDIENTE,17
5,DE VALPARAISO,SAN ANTONIO,7,SAN ANTONIO,L,36,PACTO CHILE VAMOS UDI-INDEPENDIENTES,,UNION DEMOCRATA INDEPENDIENTE,166
14,DE LOS RIOS,VALDIVIA,24,CORRAL,L,26,PACTO CHILE VAMOS UDI-INDEPENDIENTES,,INDEPENDIENTE,3
